X,fishery,species,management,MC,catchShare,illegalFishing,implementYear,time,biomass,harvest1,harvest2,harvest_ill_for,profit1,profit2,BvBMSY,FvFMSY1,FvFMSY2,FvFMSYill,FvFMSYtotal,harvest,profit
113,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,43,70829.53737,2189.561609,0,0,73722503.72,0,1.151932817,0.848226581,0,0,0.848226581,2189.561609,73722503.72
114,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,43,57036.62342,2078.665912,0,0,58224400.06,0,0.927612416,1,0,0,1,2078.665912,58224400.06
115,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,44,65521.10783,1978.276247,0,0,63911334.17,0,1.065599426,0.828466244,0,0,0.828466244,1978.276247,63911334.17
116,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,44,70851.31064,2192.456149,0,0,73820094.52,0,1.152286926,0.8490869,0,0,0.8490869,2192.456149,73820094.52
117,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,44,57191.71899,2084.318279,0,0,58519706.31,0,0.930134806,1,0,0,1,2084.318279,58519706.31
118,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,45,65778.07998,1986.034997,0,0,64316687.86,0,1.06977868,0.828466244,0,0,0.828466244,1986.034997,64316687.86
119,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,45,70870.0541,2194.948999,0,0,73904149.34,0,1.152591759,0.849827503,0,0,0.849827503,2194.948999,73904149.34
120,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,45,57341.65423,2089.782579,0,0,58805187.15,0,0.93257327,1,0,0,1,2089.782579,58805187.15
121,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,46,66026.56018,1993.53735,0,0,64708646.14,0,1.073819826,0.828466244,0,0,0.828466244,1993.53735,64708646.14
122,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,46,70886.18801,2197.095594,0,0,73976534.39,0,1.152854152,0.850464997,0,0,0.850464997,2197.095594,73976534.39
123,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,46,57486.58375,2095.06445,0,0,59081136.96,0,0.934930325,1,0,0,1,2095.06445,59081136.96
124,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,47,66266.78718,2000.790514,0,0,65087585.65,0,1.077726746,0.828466244,0,0,0.828466244,2000.790514,65087585.65
